Count,Value,brand,product,total_review_count
1415.0,buildable coverage,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
1307.0,long wearing,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
567.0,oil-free,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
62.0,lightweight,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
41.0,natural,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
36.0,oily,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
35.0,natural looking,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
27.0,natural finish,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
24.0,light weight,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
19.0,flawless,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
18.0,disappointing,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
17.0,cakey,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
17.0,drying,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
17.0,medium coverage,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
13.0,full coverage,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
13.0,smooth,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
11.0,flawless finish,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
11.0,light-weight,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
11.0,sheer,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
10.0,blendable,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
10.0,comfortable,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
10.0,light coverage,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
8.0,dewy finish,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
8.0,natural-looking,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
7.0,hydrating,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
7.0,matte,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
7.0,not long wearing,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
7.0,streaky,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
7.0,watery,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
6.0,easy to blend,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,9121
385.0,buildable coverage,Giorgio Armani Beauty,Luminous Silk Foundation,2390
334.0,long wearing,Giorgio Armani Beauty,Luminous Silk Foundation,2390
134.0,oil-free,Giorgio Armani Beauty,Luminous Silk Foundation,2390
22.0,luminous,Giorgio Armani Beauty,Luminous Silk Foundation,2390
17.0,lightweight,Giorgio Armani Beauty,Luminous Silk Foundation,2390
14.0,natural,Giorgio Armani Beauty,Luminous Silk Foundation,2390
12.0,dewy,Giorgio Armani Beauty,Luminous Silk Foundation,2390
12.0,flawless,Giorgio Armani Beauty,Luminous Silk Foundation,2390
7.0,radiant,Giorgio Armani Beauty,Luminous Silk Foundation,2390
5.0,natural finish,Giorgio Armani Beauty,Luminous Silk Foundation,2390
5.0,natural looking,Giorgio Armani Beauty,Luminous Silk Foundation,2390
5.0,smooth,Giorgio Armani Beauty,Luminous Silk Foundation,2390
4.0,light weight,Giorgio Armani Beauty,Luminous Silk Foundation,2390
3.0,blendable,Giorgio Armani Beauty,Luminous Silk Foundation,2390
